Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Seattle,King_WA,WA,54,55,10,5.8,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Riverside,Riverside_CA,CA,80.1,30,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
3,Seattle,King_WA,WA,61,48,10,5.8,0,Overcast,FALSE,TRUE,FALSE,day
2,Warrenton,Clatsop_OR,OR,55,86,2,30,0.04,Rain / Windy,FALSE,FALSE,FALSE,day
2,Stockton,San Joaquin_CA,CA,61,39,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,night
3,Saint Louis,St. Louis City_MO,MO,57,28,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,89.1,59,10,13.8,0,Clear,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,88,63,10,21,0,Partly Cloudy / Windy,FALSE,FALSE,FALSE,day
4,Bridgeville,Sussex_DE,DE,67,73,10,10,0,Cloudy,FALSE,FALSE,FALSE,day
2,Detroit,Wayne_MI,MI,55.9,60,10,3.5,0,Clear,TRUE,FALSE,FALSE,twilight
2,Conway,Horry_SC,SC,37.4,65,7,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Hanover,York_PA,PA,51.1,96,4,4.6,0.03,Light Rain,FALSE,FALSE,FALSE,day
2,Front Royal,Warren_VA,VA,81,54,10,10,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Durham,Durham_NC,NC,89,40,10,10,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Bedminster,Somerset_NJ,NJ,33.1,96,1.2,3.5,0.07,Light Snow,FALSE,FALSE,FALSE,night
3,Elizabeth,Union_NJ,NJ,70.9,58,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Santa Fe Springs,Los Angeles_CA,CA,73,57,10,6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Burton,Genesee_MI,MI,30,96,5,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,71.6,88,10,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
2,Azusa,Los Angeles_CA,CA,71.6,60,10,6.9,0,Clear,FALSE,FALSE,TRUE,night
2,Cleveland,Cuyahoga_OH,OH,57.9,87,10,10.4,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Los Angeles,Los Angeles_CA,CA,64,90,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Southfield,Oakland_MI,MI,80.6,67,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Minneapolis,Anoka_MN,MN,44.1,55,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,San Antonio,Bexar_TX,TX,48,34,10,19.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Irving,Tarrant_TX,TX,87.1,49,10,19.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,El Paso,El Paso_TX,TX,88,24,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,San Jose,Santa Clara_CA,CA,55,80,10,0,0,Cloudy,FALSE,FALSE,FALSE,night
2,Louisville,Jefferson_KY,KY,71,66,10,5,0,Fair,FALSE,FALSE,TRUE,day
2,Clearwater,Pinellas_FL,FL,54,55,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
3,Auburn,Placer_CA,CA,75.2,27,10,3.5,0,Clear,TRUE,FALSE,FALSE,day
2,Sisters,Deschutes_OR,OR,57,40,10,18.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Jacksonville,Duval_FL,FL,84.9,67,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Columbia,Richland_SC,SC,87,37,10,7,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Orlando,Orange_FL,FL,71.1,41,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Ridgeville,Dorchester_SC,SC,87.8,52,10,0,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Norristown,Montgomery_PA,PA,60.8,100,5,6.9,0,Overcast,FALSE,FALSE,FALSE,day
4,Jackson,Hinds_MS,MS,21.9,72,10,11.5,0,Overcast,FALSE,FALSE,FALSE,night
2,Chicago,Cook_IL,IL,37,96,3,17.3,0,Overcast,TRUE,FALSE,FALSE,day
2,Altamonte Springs,Seminole_FL,FL,43,68,10,12.7,0,Clear,FALSE,FALSE,FALSE,night
2,Lakeville,Dakota_MN,MN,27,100,1,0,0.03,Snow,FALSE,FALSE,FALSE,twilight
3,Oakland,Alameda_CA,CA,64.9,45,10,17.3,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
3,Charlotte,Mecklenburg_NC,NC,50,31,10,0,0,Overcast,TRUE,FALSE,FALSE,day
3,San Marcos,San Diego_CA,CA,72,38,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Indianapolis,Marion_IN,IN,34,82,10,7,0,Fair,FALSE,FALSE,FALSE,day
2,Lindenhurst,Suffolk_NY,NY,78.1,52,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Boulder,Boulder_CO,CO,66.2,21,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Dayton,Montgomery_OH,OH,21.9,93,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Duarte,Los Angeles_CA,CA,91.4,34,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Salt Lake City,Salt Lake_UT,UT,58,28,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Bronx,Bronx_NY,NY,52,83,7,5.8,0,Overcast,TRUE,FALSE,FALSE,day
3,Albuquerque,Bernalillo_NM,NM,71.1,41,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,81,74,10,13.8,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Los Angeles,Los Angeles_CA,CA,72,81,10,3.5,0,Clear,FALSE,FALSE,FALSE,night
2,Navarre,Santa Rosa_FL,FL,77,70,10,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Aromas,Monterey_CA,CA,57,93,10,4.6,0,Overcast,FALSE,FALSE,FALSE,night
3,Atlanta,Fulton_GA,GA,27,85,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,New York,New York_NY,NY,70,42,10,5.8,0,Clear,TRUE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,48.9,90,8,11.5,0,Light Rain,FALSE,FALSE,TRUE,day
2,Watsonville,Santa Cruz_CA,CA,40,86,10,0,0,Fair,TRUE,FALSE,FALSE,day
2,Santa Monica,Los Angeles_CA,CA,82,54,10,7,0,Cloudy,FALSE,FALSE,FALSE,day
2,Santa Rosa,Sonoma_CA,CA,55,89,9,6,0.01,Light Rain,TRUE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,91.4,46,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
2,East Peoria,Tazewell_IL,IL,69,87,10,3,0,Fair,FALSE,FALSE,FALSE,day
2,Yamhill,Yamhill_OR,OR,78,45,10,7,0,Fair,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,66.9,76,9,0,0,Overcast,TRUE,FALSE,FALSE,day
2,Pacific,King_WA,WA,44.6,81,10,6.9,0,Overcast,TRUE,FALSE,FALSE,day
2,Bellflower,Los Angeles_CA,CA,63,84,9,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Hebron,Boone_KY,KY,36,79,10,5.8,0,Clear,FALSE,FALSE,TRUE,night
2,Anaheim,Orange_CA,CA,75,50,10,9.2,0,Clear,TRUE,FALSE,FALSE,day
2,Concord,Contra Costa_CA,CA,78.1,50,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Woodruff,Spartanburg_SC,SC,55.4,36,10,10.4,0,Clear,FALSE,FALSE,FALSE,twilight
3,Buford,Gwinnett_GA,GA,62.6,72,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Oklahoma City,Oklahoma_OK,OK,84.9,57,10,23,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,San Rafael,Marin_CA,CA,55.4,94,4,12.7,0,Light Rain,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,60.1,86,10,0,0,Clear,FALSE,FALSE,FALSE,night
4,Geismar,Ascension_LA,LA,61,97,5,6,0,Fair,FALSE,FALSE,FALSE,twilight
2,Raleigh,Wake_NC,NC,95,32,10,12,0,Fair,FALSE,FALSE,FALSE,day
2,Rio Vista,Solano_CA,CA,63.3,70,10,24.2,0,Clear,FALSE,FALSE,FALSE,twilight
2,Wixom,Oakland_MI,MI,69.1,57,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Cary,Wake_NC,NC,62,38,10,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Crestline,San Bernardino_CA,CA,72,27,10,0,0,Mostly Cloudy,FALSE,TRUE,FALSE,day
3,Sanford,Seminole_FL,FL,78.1,90,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Burton,Genesee_MI,MI,57,49,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
3,Escondido,San Diego_CA,CA,64,60,10,13.8,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,42.8,93,7,9.2,0.03,Overcast,FALSE,FALSE,TRUE,day
2,Seneca,Oconee_SC,SC,42.1,85,10,3.5,0,Clear,FALSE,FALSE,FALSE,twilight
2,Carpinteria,Santa Barbara_CA,CA,70,63,10,7,0,Fair,FALSE,FALSE,FALSE,day
3,Hillside,Cook_IL,IL,63,38,10,11.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,San Diego,San Diego_CA,CA,62.1,80,9,10.4,0,Light Drizzle,FALSE,FALSE,FALSE,day
3,San Antonio,Bexar_TX,TX,90,48,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Miami,Miami-Dade_FL,FL,72,73,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Charlotte,Mecklenburg_NC,NC,51.8,71,10,4.6,0,Overcast,FALSE,FALSE,TRUE,day
2,Taylor,Wayne_MI,MI,43,65,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Holly Springs,Wake_NC,NC,53.6,35,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Tacoma,Pierce_WA,WA,57,90,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,35.6,81,10,0,0,Clear,FALSE,FALSE,TRUE,day
3,Denver,Adams_CO,CO,61,59,10,6,0,Partly Cloudy,TRUE,FALSE,FALSE,night
2,Dayton,Montgomery_OH,OH,64.4,72,10,11.5,0,Scattered Clouds,FALSE,FALSE,TRUE,day
3,Jacksonville,Duval_FL,FL,50,52,10,12,0,Fair,TRUE,FALSE,FALSE,day
3,Springfield,Fairfax County_VA,VA,38.3,36,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
3,Aurora,Arapahoe_CO,CO,41.4,51,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
2,Hyattsville,Prince George's_MD,MD,71.8,93,7,4.6,0,Overcast,FALSE,FALSE,FALSE,night
2,Summerfield,Marion_FL,FL,85,72,10,8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
4,Olathe,Johnson_KS,KS,59,42,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Ridgewood,Queens_NY,NY,53.6,82,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Price,Carbon_UT,UT,84.9,10,10,6.9,0,Clear,TRUE,FALSE,FALSE,day
2,Claremore,Rogers_OK,OK,66.2,94,3,4.6,0,Light Rain,FALSE,TRUE,FALSE,day
3,Springfield,Fairfax County_VA,VA,48.2,66,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
4,Goshen,Rockbridge_VA,VA,62.6,82,7,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Tempe,Maricopa_AZ,AZ,73,34,10,8,0,Fair,FALSE,FALSE,TRUE,day
2,Los Gatos,Santa Clara_CA,CA,68,70,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
3,Peotone,Will_IL,IL,30,72,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,79,35,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Denver,Arapahoe_CO,CO,43,51,10,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Seattle,King_WA,WA,41,89,10,5.8,0,Overcast,FALSE,FALSE,FALSE,day
3,Del Mar,San Diego_CA,CA,64,75,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,night
2,San Antonio,Bexar_TX,TX,69.1,61,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,54,84,10,8.1,0,Clear,FALSE,FALSE,FALSE,twilight
2,Street,Harford_MD,MD,52.5,99,1.5,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Miami,Miami-Dade_FL,FL,82,67,10,16.1,0,Partly Cloudy,FALSE,FALSE,TRUE,day
4,Glendale,Maricopa_AZ,AZ,80.6,16,10,3.5,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Jacksonville,Duval_FL,FL,80.1,87,10,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Starr,Anderson_SC,SC,51.1,92,10,5.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,64.4,42,10,19.6,0,Clear,FALSE,FALSE,TRUE,night
2,Lafayette,Lafayette_LA,LA,81,74,10,16.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,55,21,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Greer,Spartanburg_SC,SC,73.9,93,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Smyrna,Cobb_GA,GA,70.9,81,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Baton Rouge,East Baton Rouge_LA,LA,76,94,8,3,0,Fair,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,52,30,10,11.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Omaha,Douglas_NE,NE,42.1,90,4,8.1,0,Overcast,FALSE,FALSE,TRUE,day
2,Aromas,San Benito_CA,CA,64,38,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,89,63,10,21,0,Mostly Cloudy / Windy,FALSE,FALSE,TRUE,day
3,Vista,San Diego_CA,CA,66,90,9,3.5,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,35.1,96,7,5.8,0,Light Drizzle,FALSE,FALSE,TRUE,night
3,National City,San Diego_CA,CA,77,71,10,16.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Sherman Oaks,Los Angeles_CA,CA,50,71,10,6,0,Cloudy,FALSE,FALSE,FALSE,night
2,Las Vegas,Clark_NV,NV,82.9,22,10,4.6,0,Partly Cloudy,FALSE,FALSE,TRUE,night
2,San Diego,San Diego_CA,CA,61,54,10,16.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Pleasanton,Alameda_CA,CA,70,41,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Huntington,Baker_OR,OR,101,17,10,5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Irmo,Richland_SC,SC,91,36,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,79,79,10,8.1,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,64.9,25,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,63,87,2.5,20.7,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Tulsa,Tulsa_OK,OK,89,55,10,8,0,Fair,FALSE,FALSE,FALSE,twilight
2,Surprise,Maricopa_AZ,AZ,50.9,79,10,0,0,Clear,FALSE,FALSE,TRUE,day
3,Carson,Los Angeles_CA,CA,64,84,10,0,0,Clear,FALSE,FALSE,TRUE,night
2,Renton,King_WA,WA,57,87,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Phoenix,Maricopa_AZ,AZ,98.6,35,10,12.7,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Petaluma,Sonoma_CA,CA,77,36,9,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Whittier,Los Angeles_CA,CA,80.6,58,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Denver,Denver_CO,CO,75.9,25,10,18.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Chicago,Cook_IL,IL,73,81,8,11.5,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Marietta,Cobb_GA,GA,66,61,7,15,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
2,Torrance,Los Angeles_CA,CA,82,14,10,3,0,Fair,FALSE,TRUE,FALSE,day
3,Elmsford,Westchester_NY,NY,51.1,92,2,8.1,0,Mist,FALSE,FALSE,FALSE,day
2,Portland,Multnomah_OR,OR,68,68,10,6,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Cedar Falls,Black Hawk_IA,IA,75,73,10,10,0,Fair,FALSE,FALSE,TRUE,day
2,Vacaville,Solano_CA,CA,40,97,5,0,0,Cloudy,FALSE,FALSE,FALSE,night
2,Santa Clarita,Los Angeles_CA,CA,76,62,10,0,0,Fair,FALSE,FALSE,FALSE,day
